団体コード,"都道府県名（漢字）","市区町村名（漢字）","都道府県名（カナ）","市区町村名（カナ）","議事録検索URL","人口","人口基準年"
015849,北海道,洞爺湖町,ﾎｯｶｲﾄﾞｳ,ﾄｳﾔｺﾁｮｳ,http://www.town.toyako.hokkaido.jp/town_administration/town_council/toc006/,7616,2025
015857,北海道,安平町,ﾎｯｶｲﾄﾞｳ,ｱﾋﾞﾗﾁｮｳ,https://www.town.abira.lg.jp/gyosei/kaigiroku,7065,2025
015865,北海道,むかわ町,ﾎｯｶｲﾄﾞｳ,ﾑｶﾜﾁｮｳ,http://www.town.mukawa.lg.jp/2872.htm,7013,2025
016012,北海道,日高町,ﾎｯｶｲﾄﾞｳ,ﾋﾀﾞｶﾁｮｳ,https://ssp.kaigiroku.net/tenant/hidakahokkaido/pg/index.html,10368,2025
016021,北海道,平取町,ﾎｯｶｲﾄﾞｳ,ﾋﾞﾗﾄﾘﾁｮｳ,https://www.town.biratori.hokkaido.jp/soshikikarasagasu/gikaijimukyoku/gijikakari_shomugakari/1/1/4/kaigiroku/index.html,4318,2025
016047,北海道,新冠町,ﾎｯｶｲﾄﾞｳ,ﾆｲｶｯﾌﾟﾁｮｳ,https://www.niikappu.jp/gyose/gikai/gikai_kaigiroku.html,4739,2025
016071,北海道,浦河町,ﾎｯｶｲﾄﾞｳ,ｳﾗｶﾜﾁｮｳ,https://www.town.urakawa.hokkaido.jp/gyosei/council/,10693,2025
016080,北海道,様似町,ﾎｯｶｲﾄﾞｳ,ｻﾏﾆﾁｮｳ,http://www.samani.jp/gikai_koho/,3722,2025
016098,北海道,えりも町,ﾎｯｶｲﾄﾞｳ,ｴﾘﾓﾁｮｳ,https://www.town.erimo.lg.jp/section/gikai/,3993,2025
016101,北海道,新ひだか町,ﾎｯｶｲﾄﾞｳ,ｼﾝﾋﾀﾞｶﾁｮｳ,https://www.shinhidaka-hokkaido.jp/gikai/detail/00000185.html,19883,2025
016314,北海道,音更町,ﾎｯｶｲﾄﾞｳ,ｵﾄﾌｹﾁｮｳ,http://www.town.otofuke.hokkaido.dbsr.jp/index.php/4880599?Template=search-detail,42450,2025
016322,北海道,士幌町,ﾎｯｶｲﾄﾞｳ,ｼﾎﾛﾁｮｳ,https://www.shihoro.jp/assembly/minutes/,5531,2025
016331,北海道,上士幌町,ﾎｯｶｲﾄﾞｳ,ｶﾐｼﾎﾛﾁｮｳ,https://www.kamishihoro.jp/page/00000151,4527,2025
016349,北海道,鹿追町,ﾎｯｶｲﾄﾞｳ,ｼｶｵｲﾁｮｳ,https://www.town.shikaoi.lg.jp/gikai/gijiroku/,4824,2025
016357,北海道,新得町,ﾎｯｶｲﾄﾞｳ,ｼﾝﾄｸﾁｮｳ,https://shintoku-town.jp/gyousei/gikai/kaigiroku/,5225,2025
016365,北海道,清水町,ﾎｯｶｲﾄﾞｳ,ｼﾐｽﾞﾁｮｳ,https://www.town.shimizu.hokkaido.jp/gikai/proceeding/,8443,2025
016373,北海道,芽室町,ﾎｯｶｲﾄﾞｳ,ﾒﾑﾛﾁｮｳ,https://ssp.kaigiroku.net/tenant/memuro/SpTop.html,17683,2025
016381,北海道,中札内村,ﾎｯｶｲﾄﾞｳ,ﾅｶｻﾂﾅｲﾑﾗ,https://www.vill.nakasatsunai.hokkaido.jp/gikai/kaigiroku/,3738,2025
016390,北海道,更別村,ﾎｯｶｲﾄﾞｳ,ｻﾗﾍﾞﾂﾑﾗ,https://www.sarabetsu.jp/gikai/kaigiroku/,3061,2025
016411,北海道,大樹町,ﾎｯｶｲﾄﾞｳ,ﾀｲｷﾁｮｳ,https://www.town.taiki.hokkaido.jp/soshiki/gikaijimukyoku/1/1696.html,5068,2025
016420,北海道,広尾町,ﾎｯｶｲﾄﾞｳ,ﾋﾛｵﾁｮｳ,https://www.town.hiroo.lg.jp/gikai/gikaikaigiroku/,5786,2025
016438,北海道,幕別町,ﾎｯｶｲﾄﾞｳ,ﾏｸﾍﾞﾂﾁｮｳ,https://www.town.makubetsu.lg.jp/gikai/hongikai/gikaikaigiroku/,25019,2025
016446,北海道,池田町,ﾎｯｶｲﾄﾞｳ,ｲｹﾀﾞﾁｮｳ,,5874,2025
